"License Number","License Type","Legal Business Name","Type of License","Date","Expires On","Status","City - County",
"CML18-0000570","Medicinal Cannabis Cultivation License","AgriPharma Nursery LLC","Nursery","01/21/2019","01/21/2020","Active","Hollister - San Benito County",
"CML18-0000017","Medicinal Cannabis Cultivation License","Willow Creekside Farms Inc.","Small Outdoor","01/04/2019","01/04/2020","Active","Willow Creek - Humboldt County",
"CAL18-0000016","Adult-Use Cannabis Cultivation License","Willow Creekside Farms Inc","Specialty Cottage Mixed-Light Tier 2","01/04/2019","01/04/2020","Active","Willow Creek - Humboldt County",
"CAL18-0000724","Adult-Use Cannabis Cultivation License","SBM Associates LLC","Specialty Indoor","01/03/2019","01/03/2020","Active","Unincorporated - Mendocino County",
"CAL18-0000086","Adult-Use Cannabis Cultivation License","Humboldt Edge Farm","Small Mixed-Light Tier 1","01/02/2019","01/02/2020","Active","Willow Creek - Humboldt County",
"TAL18-0016768","Temporary Cannabis Cultivation License","Long Creek Ranch, LLC","Specialty Outdoor","12/31/2018","04/30/2019","Active","Unincorporated - Humboldt County",
"TAL18-0016144","Temporary Cannabis Cultivation License","Golden State Membership Association","Small Outdoor","12/31/2018","04/30/2019","Active","Redding - Trinity County",
"TAL18-0016615","Temporary Cannabis Cultivation License","98th Operations LLC","Specialty Indoor","12/31/2018","04/30/2019","Active","Oakland - Alameda County",
"TAL18-0014148","Temporary Cannabis Cultivation License","Mohammad Bhaimia","Small Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TAL18-0016592","Temporary Cannabis Cultivation License","Green Farmer Product","Specialty Indoor","12/31/2018","04/30/2019","Active","San Francisco - San Francisco County",
"TAL18-0013686","Temporary Cannabis Cultivation License","Barker Valley Farms LLC","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Unincorporated - Trinity County",
"TAL18-0016553","Temporary Cannabis Cultivation License","The Humboldt Tree Farm, LLC","Medium Outdoor","12/31/2018","04/30/2019","Active","Blue Lake - Humboldt County",
"TAL18-0016535","Temporary Cannabis Cultivation License","Emerald Holdings LLC","Small Mixed-Light Tier 1","12/31/2018","07/30/2019","Active","Unincorporated - Humboldt County",
"TML18-0016903","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TAL18-0016540","Temporary Cannabis Cultivation License","Emerald Holdings LLC","Small Mixed-Light Tier 1","12/31/2018","07/30/2019","Active","Humboldt County",
"TML18-0016889","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0016878","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0016534","Temporary Cannabis Cultivation License","GSKPCC, Inc.","Specialty Indoor","12/31/2018","04/30/2019","Active","San Francisco - San Francisco County",
"TML18-0016873","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TAL18-0012824","Temporary Cannabis Cultivation License","Richard Gandola","Specialty Cottage Outdoor","12/31/2018","04/30/2019","Active","Ukiah - Mendocino County",
"TML18-0016872","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0016871","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TAL18-0016507","Temporary Cannabis Cultivation License","CaliMed Baldwin, LLC","Medium Indoor","12/31/2018","04/30/2019","Active","El Monte - Los Angeles County",
"TML18-0016804","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0016802","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TAL18-0016494","Temporary Cannabis Cultivation License","Hygro LLC","Medium Mixed-Light Tier 2","12/31/2018","04/30/2019","Active","Fortuna - Humboldt County",
"TML18-0016800","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TAL18-0016481","Temporary Cannabis Cultivation License","Fuming Sparrow","Specialty Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Unincorporated - Mendocino County",
"TML18-0016799","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0016793","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TAL18-0016426","Temporary Cannabis Cultivation License","Dixieland Delight, LLC","Small Outdoor","12/31/2018","04/30/2019","Active","Redding - Trinity County",
"TAL18-0016459","Temporary Cannabis Cultivation License","CaliMed Van Nuys, LLC","Small Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TML18-0016786","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0011532","Temporary Cannabis Cultivation License","PERFECT KUSH COOPORATIVE CORPORATION","Specialty Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TML18-0016785","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0016783","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0016419","Temporary Cannabis Cultivation License","All Good Properties, LLC","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Unincorporated - Mendocino County",
"TML18-0016781","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0016780","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TAL18-0016418","Temporary Cannabis Cultivation License","HoneyBear Farms","Small Mixed-Light Tier 1","12/31/2018","07/29/2019","Active","Unincorporated - Mendocino County",
"TML18-0016779","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TAL18-0016406","Temporary Cannabis Cultivation License","HoneyBear Farms","Nursery","12/31/2018","07/29/2019","Active","Unincorporated - Mendocino County",
"TML18-0016777","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TAL18-0016256","Temporary Cannabis Cultivation License","Emerald Holdings LLC","Medium Mixed-Light Tier 1","12/31/2018","07/29/2019","Active","Unincorporated - Humboldt County",
"TML18-0016775","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TML18-0016774","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Outdoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TAL18-0015690","Temporary Cannabis Cultivation License","Golden Seed, LLC","Nursery","12/31/2018","04/30/2019","Active","Watsonville - Santa Cruz County",
"TML18-0016773","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Small Indoor","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TAL18-0015683","Temporary Cannabis Cultivation License","Rally Point Business Holdings, LLC","Small Outdoor","12/31/2018","04/30/2019","Active","Redding - Trinity County",
"TML18-0016772","Temporary Cannabis Cultivation License","Santa Rita Holdings Inc.","Nursery","12/31/2018","04/30/2019","Active","Lompoc - Santa Barbara County",
"TAL18-0013887","Temporary Cannabis Cultivation License","Green Wave Inc","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Sacramento - Yolo County",
"TAL18-0015445","Temporary Cannabis Cultivation License","TimothySmith","Small Outdoor","12/31/2018","04/30/2019","Active","Unincorporated - Trinity County",
"TAL18-0015262","Temporary Cannabis Cultivation License","CALIFORNIA CLEAN CANNABIS","Small Outdoor","12/31/2018","04/30/2019","Active","Unincorporated - Yolo County",
"TAL18-0017568","Temporary Cannabis Cultivation License","High Desert Cultivation Center LLC","Small Indoor","12/31/2018","04/30/2019","Active","Lancaster - Los Angeles County",
"TAL18-0015261","Temporary Cannabis Cultivation License","CALIFORNIA CLEAN CANNABIS(dba) JJK CULTIVATION","Small Outdoor","12/31/2018","04/30/2019","Active","Unincorporated - Yolo County",
"TML18-0011832","Temporary Cannabis Cultivation License","White Light Farms","Processor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
"TML18-0012215","Temporary Cannabis Cultivation License","White Light Farms","Small Outdoor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
"TAL18-0015255","Temporary Cannabis Cultivation License","GREEN CASA COLLECTIVE INC.","Specialty Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TML18-0012208","Temporary Cannabis Cultivation License","White Light Farms","Small Outdoor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
"TML18-0015249","Temporary Cannabis Cultivation License","The Little Cottage Caregivers, LLC","Small Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TML18-0012189","Temporary Cannabis Cultivation License","White Light Farms","Small Outdoor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
"TAL18-0015245","Temporary Cannabis Cultivation License","The Little Cottage Caregivers, LLC","Small Indoor","12/31/2018","04/30/2019","Active","Los Angeles - Los Angeles County",
"TML18-0011986","Temporary Cannabis Cultivation License","White Light Farms","Small Outdoor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
"TML18-0015239","Temporary Cannabis Cultivation License","cache creek cannabis","Small Mixed-Light Tier 1","12/31/2018","04/30/2019","Active","Unincorporated - Yolo County",
"TML18-0011833","Temporary Cannabis Cultivation License","White Light Farms","Small Outdoor","12/31/2018","04/30/2019","Active","Goleta - Santa Barbara County",
