group,total,orig_fieldname
totalpop,422326,B03002001
B03002001-MOE,38,"B03002001, Error"
nothispanic_total,375951,B03002002
B03002002-MOE,4268,"B03002002, Error"
nothispanic_white,252304,B03002003
B03002003-MOE,6793,"B03002003, Error"
nothispanic_black,75006,B03002004
B03002004-MOE,5590,"B03002004, Error"
nothispanic_amindian,5745,B03002005
B03002005-MOE,1505,"B03002005, Error"
nothispanic_asian,26833,B03002006
B03002006-MOE,3248,"B03002006, Error"
nothispanic_pacislander,81,B03002007
B03002007-MOE,142,"B03002007, Error"
nothispanic_other,701,B03002008
B03002008-MOE,461,"B03002008, Error"
nothispanic_multiple,15281,B03002009
B03002009-MOE,2309,"B03002009, Error"
nothispanic_multiple_other,655,B03002010
B03002010-MOE,424,"B03002010, Error"
nothispanic_multiple_three,14626,B03002011
B03002011-MOE,2281,"B03002011, Error"
latino_total,46375,B03002012
B03002012-MOE,4267,"B03002012, Error"
latino_white,13053,B03002013
B03002013-MOE,2339,"B03002013, Error"
latino_black,1101,B03002014
B03002014-MOE,705,"B03002014, Error"
latino_amindian,1527,B03002015
B03002015-MOE,1037,"B03002015, Error"
latino_asian,285,B03002016
B03002016-MOE,338,"B03002016, Error"
latino_pacislander,0,B03002017
B03002017-MOE,153,"B03002017, Error"
latino_other,27730,B03002018
B03002018-MOE,4407,"B03002018, Error"
latino_multiple,2679,B03002019
B03002019-MOE,1148,"B03002019, Error"
latino_multiple_other,1313,B03002020
B03002020-MOE,882,"B03002020, Error"
latino_multiple_three,1366,B03002021
B03002021-MOE,674,"B03002021, Error"
